NUME,PROFIL,DESCHIDERE,LUNGIME,INALTIME,CULOARE,STICLA,PRET,IMAGINE
fereastra,Aluplast,1/1,500,500,alb,dubla,68,images/F1.png
fereastra,Aluplast,1/1,500,500,color,dubla,86,images/F1.png
fereastra,Aluplast,1/1,500,500,alb,tripan,70,images/F1.png
fereastra,Aluplast,1/1,500,500,color,tripan,88,images/F1.png
fereastra,Rehau,1/1,500,500,alb,dubla,77,images/F1.png
fereastra,Rehau,1/1,500,500,color,dubla,91,images/F1.png
fereastra,Rehau,1/1,500,500,alb,tripan,78,images/F1.png
fereastra,Rehau,1/1,500,500,color,tripan,93,images/F1.png
fereastra,Synego,1/1,500,500,alb,tripan,110,images/F1.png
fereastra,Synego,1/1,500,500,color,tripan,135,images/F1.png
fereastra,Geneo,1/1,500,500,alb,tripan,107,images/F1.png
fereastra,Geneo,1/1,500,500,color,tripan,135,images/F1.png
fereastra,Aluplast,fix,1000,500,alb,dubla,51,images/F2.png
fereastra,Aluplast,fix,1000,500,color,dubla,65,images/F2.png
fereastra,Aluplast,fix,1000,500,alb,tripan,58,images/F2.png
fereastra,Aluplast,fix,1000,500,color,tripan,72,images/F2.png
fereastra,Rehau,fix,1000,500,alb,dubla,49,images/F2.png
fereastra,Rehau,fix,1000,500,color,dubla,65,images/F2.png
fereastra,Rehau,fix,1000,500,alb,tripan,59,images/F2.png
fereastra,Rehau,fix,1000,500,color,tripan,75,images/F2.png
fereastra,Synego,fix,1000,500,alb,tripan,82,images/F2.png
fereastra,Synego,fix,1000,500,color,tripan,102,images/F2.png
fereastra,Geneo,fix,1000,500,alb,tripan,92,images/F2.png
fereastra,Geneo,fix,1000,500,color,tripan,116,images/F2.png
fereastra,Aluplast,1/1,1000,500,alb,dubla,99,images/F3.png
fereastra,Aluplast,1/1,1000,500,color,dubla,125,images/F3.png
fereastra,Aluplast,1/1,1000,500,alb,tripan,104,images/F3.png
fereastra,Aluplast,1/1,1000,500,color,tripan,130,images/F3.png
fereastra,Rehau,1/1,1000,500,alb,dubla,106,images/F3.png
fereastra,Rehau,1/1,1000,500,color,dubla,127,images/F3.png
